300000	300000
3493	18996
1159	7854
527	2463
1497	82079
890	762
1103	132095
135940	300000
456	697
108	87
3735	61518
184	233
300000	300000
29301	300000
300000	300000
300000	300000
11447	100752
422	4204
973	3052
167	190
4145	118076
545	153
136	131
2499	18648
273081	300000
268915	300000
637	621
90	102
531	1614
161	311
2302	46266
300000	300000
368	328
300000	300000
300000	300000
300000	300000
457	468
3247	19313
28430	300000
352	782
223	319
2611	6877
3865	3633
284	553
1040	3727
117	246
220	469
455	257
152	188
204579	300000
105	80
24115	136035
201948	300000
7521	300000
454	4873
136	172
5397	17792
577	398
206	499
6340	7178
156	137
300000	300000
114	171
490	170
11379	212653
204	383
300000	300000
167	170
385	131
22326	146758
300000	300000
719	1045
133	137
227	828
2676	3853
422	689
300000	300000
102	151
300000	300000
889	33499
300000	300000
431	943
3554	36892
300000	300000
142	204
1138	41527
300000	300000
300000	300000
175	566
152	128
166	182
152	171
252780	300000
305	323
152	69
670	1866
4182	21086
444	209
468	1193
300000	300000
300000	300000
179	216
300000	300000
159	211
2392	7122
129	165
267	1165
300000	300000
24515	139416
1432	3106
300000	300000
134985	300000
134	120
220	157
300000	300000
147	122
376	5675
105	147
208	143
1273	2853
127	159
300000	300000
2527	3681
1324	1399
1062	2474
193	148
3708	35567
300000	300000
300000	300000
143291	300000
133	119
428	1908
106	95
300000	300000
1119	1644
301	136
180	155
300000	300000
300000	300000
1300	43179
81477	283605
178	1155
5635	46160
300000	300000
2313	1718
20245	300000
1173	556
63226	300000
300000	300000
278777	300000
878	109055
3301	22337
300000	300000
219	295
1223	5633
134	255
159	374
226	1101
132	560
1003	4954
1806	5039
950	1307
311	327
300000	300000
227	394
371	4264
684	24787
617	660
1126	6222
224	700
185	133
5138	10376
445	3865
300000	300000
127	154
153	246
74411	300000
264	754
387	164
383	742
431	1314
172	230
76755	159808
300000	300000
38935	300000
1761	135532
3350	148896
222	229
1218	1356
22978	300000
362	1247
434	208
144	412
267468	300000
136954	300000
841	598
134	431
182	720
372	2043
300000	300000
811	3959
300000	300000
139	148
3526	30540
300000	300000
343	165
271	194
425	668
220	142
125711	300000
228	1474
209	181
903	3780
300000	300000
54746	300000
1027	2532
27458	242053
10473	74557
2134	6034
466	147
300000	300000
300000	300000
462	947
28669	300000
126	159
4342	7147
3561	8658
300000	300000
300000	300000
482	119
300000	300000
201	260
458	1249
170	224
2296	3528
300000	300000
300000	300000
300000	300000
25020	58802
190	355
367	293
7521	21510
300000	300000
199	417
5448	37169
268	575
104	181
72932	201450
160	240
139	230
67985	300000
642	754
1152	5883
300000	300000
3671	7088
4139	34172
7051	5945
1080	1547
98897	300000
192538	300000
6631	52906
384	2363
300000	300000
92	89
522	669
332	469
300000	300000
990	409
300000	300000
540	432
215	190
112	154
300000	300000
185052	300000
300000	300000
986	6021
300000	300000
199	1028
19456	51175
187	109
660	15593
306	180
300000	300000
219	704
375	719
300000	300000
451	1672
2382	1627
1281	2723
149	182
656	2896
721	313
260	425
668	1040
300000	300000
169	510
83	213
300000	300000
144	139
153	214
300000	300000
28775	64510
2555	5948
300000	300000
300000	300000
557	5102
185	704
1519	105543
300	4347
1215	452
144	161
723	3156
473	656
2098	5544
237409	300000
151	198
4311	7404
300000	300000
888	154951
318	1003
90	109
260	1425
259517	300000
137	341
137	149
70009	113362
339	151
14221	300000
632	638
202	207
147	329
874	100783
119	192
300000	300000
21570	300000
143	126
356	499
20295	159476
958	1256
704	19987
955	7526
9246	53304
4094	18842
300000	300000
3842	45238
24670	76180
141	210
614	721
300000	300000
156	145
24672	144928
300000	300000
7373	12697
1202	5109
28263	300000
251	501
300000	300000
185	167
247	463
300000	300000
339	411
300000	300000
211	312
1035	168909
13646	300000
139	159
300000	300000
6964	65088
294972	300000
305	1213
300000	300000
5270	51117
45915	160892
285440	300000
300000	300000
300000	300000
1894	3887
377	4665
300000	300000
1262	1134
207901	300000
31609	300000
300000	300000
300000	300000
145	150
1072	2481
265	157
140	128
214	144
244	220
841	1024
300000	300000
24058	48064
224	595
1745	22991
146	117
6609	20200
300000	300000
7813	36733
1053	1794
450	4502
692	2405
48258	55815
503	1870
300000	300000
300000	300000
839	1084
133	117
1458	1480
2159	1449
158	549
22790	53093
444	1265
59548	300000
1129	4208
126	257
119520	300000
