602,422
3674,4296
83,94
120000,120000
120000,120000
427,229
2493,2782
256,284
1086,600
115,137
156,134
1891,2141
16434,12934
108,100
382,459
120000,120000
111,118
4099,2121
105,152
236,259
2987,2595
120000,120000
88,88
235,258
16549,13676
7958,5513
112,134
1055,1016
127,116
598,425
7092,7664
95,100
120000,120000
120000,120000
527,390
24395,23786
120000,120000
120000,120000
120000,120000
117,781
120000,120000
506,565
509,915
120000,120000
90,101
639,217
157,105
120000,120000
614,714
164,494
89,84
215,188
2347,1008
73643,57949
120000,120000
92,80
120000,120000
640,714
112,110
93501,87296
2208,2215
28041,26501
1024,942
415,479
1080,610
12892,13158
105,110
337,367
206,170
227,259
226,137
1221,395
141,139
120000,120000
5813,3193
120000,120000
120000,120000
79385,69611
478,451
1389,1745
137,141
10853,10595
98,105
120000,120000
120000,120000
268,403
416,621
123,127
127,117
1578,1793
23760,26884
228,88
236,254
7775,6811
269,1409
274,281
239,186
120000,120000
5141,4531
471,158
120000,120000
102,193
88,102
218,174
120000,120000
184,197
1173,1004
139,163
1816,1616
85865,95333
134,111
396,536
238,340
1862,724
822,853
1469,2432
505,277
5627,5807
80,91
641,655
120000,120000
111,107
166,137
120000,120000
120000,120000
120000,120000
1635,1733
200,208
198,311
137,132
127,133
88,187
120000,120000
120000,120000
732,322
891,834
132,125
1786,2135
679,1078
189,199
932,999
15261,8854
120000,120000
89,90
104,107
503,531
178,150
120000,120000
1341,1327
120000,120000
120000,120000
2916,3455
285,346
1627,945
44880,41642
265,208
107,96
598,534
115,119
249,259
120000,120000
241,396
90,96
88,87
260,284
506,1653
2343,2453
91,96
314,223
877,887
7078,6463
251,281
243,343
123,121
120000,120000
192,205
2545,2826
12288,11511
120000,120000
42872,31187
5596,5683
403,270
2064,2220
1606,812
130,135
8540,9048
150,135
205,225
790,537
1917,1935
116,113
120000,120000
72631,59238
138,167
120000,120000
2675,4051
90,107
120000,120000
226,131
1268,437
615,575
10441,9896
120000,120000
4102,3422
3045,3284
120000,120000
162,144
117,126
201,242
17599,17151
145,151
90,145
120000,120000
93,92
120000,120000
2975,621
1345,1292
90,92
1017,1390
25625,27566
1796,2079
854,922
444,477
201,196
239,148
249,330
2016,1790
1570,1819
696,226
275,429
184,146
102,110
120000,120000
693,782
1692,2020
120000,120000
14303,15198
130,125
16086,15278
440,483
140,149
120000,120000
89,89
124,121
459,571
190,224
184,192
120000,120000
523,646
120000,120000
166,149
623,640
120000,120000
108,132
960,989
408,410
120000,120000
1841,2438
120000,120000
1437,538
938,253
120000,120000
106,106
547,487
124,133
382,501
23607,26762
12421,15330
97,100
120000,120000
189,176
138,102
610,434
299,245
120000,120000
547,894
11839,13697
773,1053
83,87
274,365
137,135
109,225
1296,2852
283,359
2349,3147
193,206
128,128
263,308
1083,1489
333,1412
226,305
108,104
120000,120000
243,139
28680,18124
157,150
141,174
429,444
274,293
182,156
6856,8217
291,268
121,130
120000,120000
120000,120000
458,630
280,270
120000,120000
133,133
88,88
129,118
152,130
289,332
120000,120000
120000,120000
120000,120000
241,98
444,492
7799,3550
2026,2427
176,185
813,740
369,406
179,183
96,132
14928,15552
7617,8425
2194,3523
4915,5306
120000,120000
279,263
120000,120000
2527,1543
127,139
18192,18420
146,104
177,94
91,82
342,163
120000,120000
284,302
475,493
120000,120000
94,109
81,94
5154,5333
120000,120000
120000,120000
12459,14253
122,135
120000,120000
3837,3844
120000,120000
120000,120000
992,662
9615,11080
12182,10635
120000,120000
8930,5382
444,602
120000,120000
836,1054
545,568
270,249
120000,120000
3801,5167
878,2683
2991,3388
120000,120000
189,130
120000,120000
669,589
120000,120000
120000,120000
173,92
95,152
120000,120000
114,128
351,471
90,97
5402,6337
120000,120000
801,986
236,337
120000,120000
124,120
211,182
381,493
154,84
140,153
267,282
345,638
120000,120000
120000,120000
2221,3502
120000,120000
1119,843
120000,120000
120000,120000
120000,120000
87352,98902
772,516
829,927
162,226
379,718
120000,120000
3900,4988
127,135
541,800
120000,120000
29083,29693
488,442
149,121
81,93
5649,4997
237,275
120000,120000
120000,120000
2073,3258
139,195
266,279
187,212
1839,1566
120000,120000
19327,22826
19508,17850
137,126
1350,1301
287,301
120000,120000
30843,28001
167,118
263,292
120000,120000
120000,120000
23254,13754
203,129
808,758
176,188
134,129
2089,2322
36529,38726
12769,14216
89,99
99,113
111,118
1678,1490
120000,120000
308,294
61307,120000
120000,120000
120000,120000
120000,120000
120000,120000
1830,1587
156,179
1007,770
282,159
317,177
2863,3495
88,84
120000,120000
2057,1438
133,133
120000,120000
292,260
120000,120000
120000,120000
120000,120000
812,360
3930,4560
181,198
384,294
15448,14800
171,188
120000,120000
2026,3572
2764,3315
152,109
120000,120000
120000,112570
120000,120000
120000,120000
117,121
138,144
129,144
120,155
120000,120000
81,104
199,150
3337,3905
120000,120000
120000,120000
38440,37606
4329,3824
848,568
1011,407
120000,120000
15146,14996
290,335
120000,120000
2564,2930
101,113
293,347
693,891
5070,5312
120000,120000
120000,120000
27167,23746
120000,120000
91,127
246,135
5598,5181
14437,14257
126,169
116704,90691
